,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
151,194055,171615,158100,149175,140250,142035,181815,115770,129540,103020,96390,86190,106080,88485,94605,84660,63495,90525,1
152,100725,84150,100980,106335,130560,157845,110415,86445,111690,118830,114750,145605,105570,108375,128775,130560,86700,125715,1
153,136680,144075,115260,104040,114750,118320,141780,104550,124440,81855,87210,85680,74460,87720,100725,54060,59160,117555,1
154,41055,42330,57630,39015,33405,131325,178245,212160,60435,52020,97665,136425,115770,132090,104550,183090,57375,60690,1
155,4590,15045,40290,333030,177480,36975,57630,21420,14790,26265,60435,31365,61200,37740,74460,53550,38760,34425,1
156,509745,571710,544170,454665,501585,1104405,690285,703545,555645,546210,652545,537540,300135,228990,493935,722160,530145,597720,1
157,353175,356235,360060,315945,362100,356490,454920,370005,389130,395250,352920,328185,328695,392955,341445,389130,325125,247095,1
158,250665,251685,330480,201195,250410,180030,190230,182580,220320,177225,200940,216240,198390,93075,71910,99450,164220,233325,1
159,21420,293250,638265,304725,189720,158865,153510,37230,35190,158865,19890,1785,23715,176715,125460,70125,84150,155295,1
160,40035,54825,52530,67575,82365,98175,75480,45900,31110,38505,31110,24225,31875,40545,31620,12750,9435,144585,1
161,54315,53295,63750,57885,60435,86445,126990,80835,85170,100980,88230,90525,66300,78030,58905,60435,67830,87975,1
162,44370,22185,765,510,92565,69105,48450,66045,43605,45900,62475,14280,33660,62985,38250,4590,3570,45645,1
163,119850,123930,117045,104805,141780,134640,114750,104550,110415,109140,93840,93585,82110,91290,79815,93075,120105,112200,1
164,369750,342720,354195,353685,386070,386070,437580,328440,330990,293760,285345,260865,253980,256785,262650,251685,251685,288405,1
165,195840,157335,147390,64005,60690,96645,33915,30855,55080,81090,71910,81090,102510,104295,146880,217770,208845,244800,1
166,423810,508470,10710,19890,46920,42840,137955,747405,843030,738225,343740,330735,769590,664020,618885,506175,148665,108375,1
167,57375,31365,46920,72675,33915,42585,46155,31365,38250,27030,33660,35445,39525,77520,36465,38760,41820,84660,1
168,95370,87720,123675,150195,131835,161160,108120,105060,115515,114240,102000,76755,143055,78285,55335,56100,91545,200685,1
169,94860,98175,88995,117555,99450,167025,187170,132600,171105,160140,213180,209865,162180,219810,246330,270300,241485,226185,1
170,0,0,0,0,0,0,50745,41820,36465,21675,26265,42075,45390,21165,25245,23205,1530,3315,1
171,279990,263925,229500,208845,196095,315690,224910,188190,219810,207060,309570,238170,230265,204510,185895,225675,269535,340170,1
